Time,Aut Wd,Aut Sat,Aut Sun,Hsr Wd,Hsr Sat,Hsr Sun,Smr Wd,Smr Sat,Smr Sun,Spr Wd,Spr Sat,Spr Sun,Wtr Wd,Wtr Sat,Wtr Sun
00:30,2.7,3.4,2.17,2.56,2.95,1.8,2.57,3.56,2.18,3.04,4.49,2.13,3.83,3.76,3.3
01:00,2.76,3.19,2.13,2.87,3.1,1.72,2.91,3.62,2.09,3.26,3.83,2.15,4.2,3.78,3.51
01:30,3.11,3.15,1.95,3.41,3.28,1.82,3.51,3.85,2.12,3.85,3.64,2.22,4.99,4.1,4.04
02:00,3.61,3.18,2.01,3.32,3.26,1.8,3.51,3.89,2.13,3.81,4,2.31,5.17,4.08,4.03
02:30,3.54,3.23,2.07,3.02,3.03,1.71,3.48,3.85,2.07,3.97,3.99,2.33,4.92,4.05,3.95
03:00,3.62,3.1,2.07,3.07,2.91,1.77,3.53,3.69,2.01,3.9,3.71,2.39,4.68,3.82,3.9
03:30,3.89,3.34,2.38,3.2,3.04,2.1,3.45,3.55,2.2,3.9,3.4,2.54,4.51,3.65,3.86
04:00,3.44,3.14,2.59,3.06,3.15,2.24,3.16,3.17,2.2,3.71,3.18,2.53,4.32,3.7,3.81
04:30,3.31,2.94,2.52,2.56,2.79,1.91,2.78,2.92,2.28,3.36,2.88,2.54,4.48,3.7,3.72
05:00,3.27,2.98,2.47,2.42,2.32,1.81,2.48,2.66,2.22,3.18,2.79,2.39,4.58,3.73,3.6
05:30,3.1,2.68,2.32,2.39,2.17,1.59,2.32,2.39,1.94,3.15,2.52,2.4,4.49,3.57,3.44
06:00,3.07,2.78,2.04,2.37,2.16,1.59,2.3,2.43,1.82,3.2,2.53,2.3,4.42,3.47,3.05
06:30,3.77,2.69,1.92,2.81,2.24,1.62,3.04,2.48,1.68,4.15,2.94,2.32,5,3.68,3.06
07:00,4.92,2.89,2.31,3.56,2.42,1.68,3.95,2.59,1.7,5.02,3.22,2.23,6.01,3.79,2.91
07:30,6.49,3.51,2.26,4.41,2.84,1.83,5.23,3,1.9,6.43,3.99,2.49,8.16,4.8,3.18
08:00,8.79,4.52,2.22,6.09,3.64,1.94,7.12,3.79,2.05,8.27,4.85,2.55,11.33,6.13,3.19
08:30,13.47,6.04,2.46,9.42,4.86,2.1,11.62,5.15,2.19,12.78,6.41,2.87,16.46,7.88,3.21
09:00,16.14,6.5,2.57,11.34,5.36,2.24,14.03,5.82,2.23,15.65,7.35,3.17,19.94,9.07,3.18
