StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-12-08T23:30:00Z,APXMIDP,2024-12-08,48,36.98,1199.050
2024-12-08T23:30:00Z,N2EXMIDP,2024-12-08,48,0.00,0.000
2024-12-08T23:00:00Z,APXMIDP,2024-12-08,47,39.05,1184.550
2024-12-08T23:00:00Z,N2EXMIDP,2024-12-08,47,0.00,0.000
2024-12-08T22:30:00Z,APXMIDP,2024-12-08,46,62.11,1441.900
2024-12-08T22:30:00Z,N2EXMIDP,2024-12-08,46,0.00,0.000
2024-12-08T22:00:00Z,APXMIDP,2024-12-08,45,82.12,1679.350
2024-12-08T22:00:00Z,N2EXMIDP,2024-12-08,45,0.00,0.000
2024-12-08T21:30:00Z,APXMIDP,2024-12-08,44,97.93,1481.900
2024-12-08T21:30:00Z,N2EXMIDP,2024-12-08,44,0.00,0.000
2024-12-08T21:00:00Z,APXMIDP,2024-12-08,43,98.05,1631.850
2024-12-08T21:00:00Z,N2EXMIDP,2024-12-08,43,0.00,0.000
2024-12-08T20:30:00Z,APXMIDP,2024-12-08,42,95.29,2618.150
2024-12-08T20:30:00Z,N2EXMIDP,2024-12-08,42,0.00,0.000
2024-12-08T20:00:00Z,APXMIDP,2024-12-08,41,94.55,2348.900
2024-12-08T20:00:00Z,N2EXMIDP,2024-12-08,41,0.00,0.000
2024-12-08T19:30:00Z,APXMIDP,2024-12-08,40,94.75,2293.150
2024-12-08T19:30:00Z,N2EXMIDP,2024-12-08,40,0.00,0.000
2024-12-08T19:00:00Z,APXMIDP,2024-12-08,39,100.00,2441.900
2024-12-08T19:00:00Z,N2EXMIDP,2024-12-08,39,0.00,0.000
2024-12-08T18:30:00Z,APXMIDP,2024-12-08,38,114.37,2579.500
2024-12-08T18:30:00Z,N2EXMIDP,2024-12-08,38,0.00,0.000
2024-12-08T18:00:00Z,APXMIDP,2024-12-08,37,116.65,2583.650
2024-12-08T18:00:00Z,N2EXMIDP,2024-12-08,37,0.00,0.000
2024-12-08T17:30:00Z,APXMIDP,2024-12-08,36,116.42,2792.100
2024-12-08T17:30:00Z,N2EXMIDP,2024-12-08,36,0.00,0.000
2024-12-08T17:00:00Z,APXMIDP,2024-12-08,35,113.76,2952.400
2024-12-08T17:00:00Z,N2EXMIDP,2024-12-08,35,0.00,0.000
2024-12-08T16:30:00Z,APXMIDP,2024-12-08,34,112.46,2904.800
2024-12-08T16:30:00Z,N2EXMIDP,2024-12-08,34,0.00,0.000
2024-12-08T16:00:00Z,APXMIDP,2024-12-08,33,109.54,2686.900
2024-12-08T16:00:00Z,N2EXMIDP,2024-12-08,33,0.00,0.000
2024-12-08T15:30:00Z,APXMIDP,2024-12-08,32,106.97,2886.300
2024-12-08T15:30:00Z,N2EXMIDP,2024-12-08,32,0.00,0.000
2024-12-08T15:00:00Z,APXMIDP,2024-12-08,31,102.90,3132.750
