StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2025-06-09T22:30:00Z,APXMIDP,2025-06-09,48,42.03,3343.600
2025-06-09T22:30:00Z,N2EXMIDP,2025-06-09,48,0.00,0.000
2025-06-09T22:00:00Z,APXMIDP,2025-06-09,47,53.67,2872.350
2025-06-09T22:00:00Z,N2EXMIDP,2025-06-09,47,0.00,0.000
2025-06-09T21:30:00Z,APXMIDP,2025-06-09,46,83.19,5047.100
2025-06-09T21:30:00Z,N2EXMIDP,2025-06-09,46,0.00,0.000
2025-06-09T21:00:00Z,APXMIDP,2025-06-09,45,83.11,4414.350
2025-06-09T21:00:00Z,N2EXMIDP,2025-06-09,45,0.00,0.000
2025-06-09T20:30:00Z,APXMIDP,2025-06-09,44,89.65,5027.950
2025-06-09T20:30:00Z,N2EXMIDP,2025-06-09,44,0.00,0.000
2025-06-09T20:00:00Z,APXMIDP,2025-06-09,43,90.84,4963.050
2025-06-09T20:00:00Z,N2EXMIDP,2025-06-09,43,0.00,0.000
2025-06-09T19:30:00Z,APXMIDP,2025-06-09,42,93.05,4679.300
2025-06-09T19:30:00Z,N2EXMIDP,2025-06-09,42,0.00,0.000
2025-06-09T19:00:00Z,APXMIDP,2025-06-09,41,93.07,4345.200
2025-06-09T19:00:00Z,N2EXMIDP,2025-06-09,41,0.00,0.000
2025-06-09T18:30:00Z,APXMIDP,2025-06-09,40,92.63,4534.500
2025-06-09T18:30:00Z,N2EXMIDP,2025-06-09,40,0.00,0.000
2025-06-09T18:00:00Z,APXMIDP,2025-06-09,39,89.59,4496.400
2025-06-09T18:00:00Z,N2EXMIDP,2025-06-09,39,0.00,0.000
2025-06-09T17:30:00Z,APXMIDP,2025-06-09,38,77.12,4426.300
2025-06-09T17:30:00Z,N2EXMIDP,2025-06-09,38,0.00,0.000
2025-06-09T17:00:00Z,APXMIDP,2025-06-09,37,74.17,4523.450
2025-06-09T17:00:00Z,N2EXMIDP,2025-06-09,37,0.00,0.000
2025-06-09T16:30:00Z,APXMIDP,2025-06-09,36,65.68,4219.200
2025-06-09T16:30:00Z,N2EXMIDP,2025-06-09,36,0.00,0.000
2025-06-09T16:00:00Z,APXMIDP,2025-06-09,35,67.92,4313.900
2025-06-09T16:00:00Z,N2EXMIDP,2025-06-09,35,0.00,0.000
2025-06-09T15:30:00Z,APXMIDP,2025-06-09,34,64.33,4576.850
2025-06-09T15:30:00Z,N2EXMIDP,2025-06-09,34,0.00,0.000
2025-06-09T15:00:00Z,APXMIDP,2025-06-09,33,61.42,3881.050
2025-06-09T15:00:00Z,N2EXMIDP,2025-06-09,33,0.00,0.000
2025-06-09T14:30:00Z,APXMIDP,2025-06-09,32,67.00,3043.650
2025-06-09T14:30:00Z,N2EXMIDP,2025-06-09,32,0.00,0.000
2025-06-09T14:00:00Z,APXMIDP,2025-06-09,31,69.80,3594.600
2025-06-09T14:00:00Z,N2EXMIDP,2025-06-09,31,0.00,0.000
2025-06-09T13:30:00Z,APXMIDP,2025-06-09,30,72.30,3588.750
2025-06-09T13:30:00Z,N2EXMIDP,2025-06-09,30,0.00,0.000
2025-06-09T13:00:00Z,APXMIDP,2025-06-09,29,72.41,3467.950
2025-06-09T13:00:00Z,N2EXMIDP,2025-06-09,29,0.00,0.000
2025-06-09T12:30:00Z,APXMIDP,2025-06-09,28,75.14,3064.550
2025-06-09T12:30:00Z,N2EXMIDP,2025-06-09,28,0.00,0.000
2025-06-09T12:00:00Z,APXMIDP,2025-06-09,27,75.95,2988.150
2025-06-09T12:00:00Z,N2EXMIDP,2025-06-09,27,0.00,0.000
2025-06-09T11:30:00Z,APXMIDP,2025-06-09,26,88.63,2606.400
2025-06-09T11:30:00Z,N2EXMIDP,2025-06-09,26,0.00,0.000
2025-06-09T11:00:00Z,APXMIDP,2025-06-09,25,94.97,2301.900
2025-06-09T11:00:00Z,N2EXMIDP,2025-06-09,25,0.00,0.000
2025-06-09T10:30:00Z,APXMIDP,2025-06-09,24,93.12,2210.700
2025-06-09T10:30:00Z,N2EXMIDP,2025-06-09,24,0.00,0.000
2025-06-09T10:00:00Z,APXMIDP,2025-06-09,23,91.25,1804.350
2025-06-09T10:00:00Z,N2EXMIDP,2025-06-09,23,0.00,0.000
2025-06-09T09:30:00Z,APXMIDP,2025-06-09,22,102.02,2146.300
2025-06-09T09:30:00Z,N2EXMIDP,2025-06-09,22,0.00,0.000
2025-06-09T09:00:00Z,APXMIDP,2025-06-09,21,102.62,1785.550
2025-06-09T09:00:00Z,N2EXMIDP,2025-06-09,21,0.00,0.000
2025-06-09T08:30:00Z,APXMIDP,2025-06-09,20,103.23,1855.700
2025-06-09T08:30:00Z,N2EXMIDP,2025-06-09,20,0.00,0.000
2025-06-09T08:00:00Z,APXMIDP,2025-06-09,19,105.02,1900.250
2025-06-09T08:00:00Z,N2EXMIDP,2025-06-09,19,0.00,0.000
2025-06-09T07:30:00Z,APXMIDP,2025-06-09,18,105.44,1993.150
2025-06-09T07:30:00Z,N2EXMIDP,2025-06-09,18,0.00,0.000
2025-06-09T07:00:00Z,APXMIDP,2025-06-09,17,104.59,1691.700
2025-06-09T07:00:00Z,N2EXMIDP,2025-06-09,17,0.00,0.000
2025-06-09T06:30:00Z,APXMIDP,2025-06-09,16,101.97,1630.100
2025-06-09T06:30:00Z,N2EXMIDP,2025-06-09,16,0.00,0.000
2025-06-09T06:00:00Z,APXMIDP,2025-06-09,15,99.61,1738.550
2025-06-09T06:00:00Z,N2EXMIDP,2025-06-09,15,0.00,0.000
2025-06-09T05:30:00Z,APXMIDP,2025-06-09,14,89.17,1857.200
