StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2025-09-07T23:00:00Z,APXMIDP,2025-09-08,1,53.28,2412.450
2025-09-07T23:00:00Z,N2EXMIDP,2025-09-08,1,0.00,0.000
2025-09-07T22:30:00Z,APXMIDP,2025-09-07,48,44.71,2041.400
2025-09-07T22:30:00Z,N2EXMIDP,2025-09-07,48,0.00,0.000
2025-09-07T22:00:00Z,APXMIDP,2025-09-07,47,47.31,1866.050
2025-09-07T22:00:00Z,N2EXMIDP,2025-09-07,47,0.00,0.000
2025-09-07T21:30:00Z,APXMIDP,2025-09-07,46,66.30,2245.500
2025-09-07T21:30:00Z,N2EXMIDP,2025-09-07,46,0.00,0.000
2025-09-07T21:00:00Z,APXMIDP,2025-09-07,45,74.89,2123.550
2025-09-07T21:00:00Z,N2EXMIDP,2025-09-07,45,0.00,0.000
2025-09-07T20:30:00Z,APXMIDP,2025-09-07,44,80.64,2085.350
2025-09-07T20:30:00Z,N2EXMIDP,2025-09-07,44,0.00,0.000
2025-09-07T20:00:00Z,APXMIDP,2025-09-07,43,83.73,2161.000
2025-09-07T20:00:00Z,N2EXMIDP,2025-09-07,43,0.00,0.000
2025-09-07T19:30:00Z,APXMIDP,2025-09-07,42,83.26,2554.550
2025-09-07T19:30:00Z,N2EXMIDP,2025-09-07,42,0.00,0.000
2025-09-07T19:00:00Z,APXMIDP,2025-09-07,41,82.41,2768.000
2025-09-07T19:00:00Z,N2EXMIDP,2025-09-07,41,0.00,0.000
2025-09-07T18:30:00Z,APXMIDP,2025-09-07,40,80.61,2723.800
2025-09-07T18:30:00Z,N2EXMIDP,2025-09-07,40,0.00,0.000
2025-09-07T18:00:00Z,APXMIDP,2025-09-07,39,78.65,2468.350
2025-09-07T18:00:00Z,N2EXMIDP,2025-09-07,39,0.00,0.000
2025-09-07T17:30:00Z,APXMIDP,2025-09-07,38,72.81,2657.650
2025-09-07T17:30:00Z,N2EXMIDP,2025-09-07,38,0.00,0.000
2025-09-07T17:00:00Z,APXMIDP,2025-09-07,37,68.56,2645.600
2025-09-07T17:00:00Z,N2EXMIDP,2025-09-07,37,0.00,0.000
2025-09-07T16:30:00Z,APXMIDP,2025-09-07,36,64.50,2684.950
2025-09-07T16:30:00Z,N2EXMIDP,2025-09-07,36,0.00,0.000
2025-09-07T16:00:00Z,APXMIDP,2025-09-07,35,61.70,2728.700
2025-09-07T16:00:00Z,N2EXMIDP,2025-09-07,35,0.00,0.000
2025-09-07T15:30:00Z,APXMIDP,2025-09-07,34,31.45,4170.850
2025-09-07T15:30:00Z,N2EXMIDP,2025-09-07,34,0.00,0.000
2025-09-07T15:00:00Z,APXMIDP,2025-09-07,33,18.95,4122.750
2025-09-07T15:00:00Z,N2EXMIDP,2025-09-07,33,0.00,0.000
2025-09-07T14:30:00Z,APXMIDP,2025-09-07,32,27.28,4467.250
2025-09-07T14:30:00Z,N2EXMIDP,2025-09-07,32,0.00,0.000
2025-09-07T14:00:00Z,APXMIDP,2025-09-07,31,22.08,3804.500
2025-09-07T14:00:00Z,N2EXMIDP,2025-09-07,31,0.00,0.000
2025-09-07T13:30:00Z,APXMIDP,2025-09-07,30,14.80,3462.250
2025-09-07T13:30:00Z,N2EXMIDP,2025-09-07,30,0.00,0.000
2025-09-07T13:00:00Z,APXMIDP,2025-09-07,29,17.71,3182.100
2025-09-07T13:00:00Z,N2EXMIDP,2025-09-07,29,0.00,0.000
2025-09-07T12:30:00Z,APXMIDP,2025-09-07,28,17.33,2847.300
2025-09-07T12:30:00Z,N2EXMIDP,2025-09-07,28,0.00,0.000
2025-09-07T12:00:00Z,APXMIDP,2025-09-07,27,13.15,2647.200
2025-09-07T12:00:00Z,N2EXMIDP,2025-09-07,27,0.00,0.000
2025-09-07T11:30:00Z,APXMIDP,2025-09-07,26,6.24,2680.900
2025-09-07T11:30:00Z,N2EXMIDP,2025-09-07,26,0.00,0.000
2025-09-07T11:00:00Z,APXMIDP,2025-09-07,25,-1.35,2606.300
2025-09-07T11:00:00Z,N2EXMIDP,2025-09-07,25,0.00,0.000
2025-09-07T10:30:00Z,APXMIDP,2025-09-07,24,4.48,2270.000
2025-09-07T10:30:00Z,N2EXMIDP,2025-09-07,24,0.00,0.000
2025-09-07T10:00:00Z,APXMIDP,2025-09-07,23,1.48,2378.750
2025-09-07T10:00:00Z,N2EXMIDP,2025-09-07,23,0.00,0.000
2025-09-07T09:30:00Z,APXMIDP,2025-09-07,22,4.40,2524.700
2025-09-07T09:30:00Z,N2EXMIDP,2025-09-07,22,0.00,0.000
2025-09-07T09:00:00Z,APXMIDP,2025-09-07,21,3.22,2457.300
2025-09-07T09:00:00Z,N2EXMIDP,2025-09-07,21,0.00,0.000
2025-09-07T08:30:00Z,APXMIDP,2025-09-07,20,4.36,2487.250
2025-09-07T08:30:00Z,N2EXMIDP,2025-09-07,20,0.00,0.000
2025-09-07T08:00:00Z,APXMIDP,2025-09-07,19,4.46,2342.300
2025-09-07T08:00:00Z,N2EXMIDP,2025-09-07,19,0.00,0.000
2025-09-07T07:30:00Z,APXMIDP,2025-09-07,18,31.13,2916.050
2025-09-07T07:30:00Z,N2EXMIDP,2025-09-07,18,0.00,0.000
2025-09-07T07:00:00Z,APXMIDP,2025-09-07,17,15.78,2298.950
2025-09-07T07:00:00Z,N2EXMIDP,2025-09-07,17,0.00,0.000
2025-09-07T06:30:00Z,APXMIDP,2025-09-07,16,39.65,1968.950
2025-09-07T06:30:00Z,N2EXMIDP,2025-09-07,16,0.00,0.000
2025-09-07T06:00:00Z,APXMIDP,2025-09-07,15,20.36,1534.650
2025-09-07T06:00:00Z,N2EXMIDP,2025-09-07,15,0.00,0.000
2025-09-07T05:30:00Z,APXMIDP,2025-09-07,14,8.65,1444.850
2025-09-07T05:30:00Z,N2EXMIDP,2025-09-07,14,0.00,0.000
2025-09-07T05:00:00Z,APXMIDP,2025-09-07,13,0.37,1446.400
2025-09-07T05:00:00Z,N2EXMIDP,2025-09-07,13,0.00,0.000
2025-09-07T04:30:00Z,APXMIDP,2025-09-07,12,-0.88,1554.300
2025-09-07T04:30:00Z,N2EXMIDP,2025-09-07,12,0.00,0.000
2025-09-07T04:00:00Z,APXMIDP,2025-09-07,11,-0.23,1308.500
2025-09-07T04:00:00Z,N2EXMIDP,2025-09-07,11,0.00,0.000
2025-09-07T03:30:00Z,APXMIDP,2025-09-07,10,8.43,1490.750
2025-09-07T03:30:00Z,N2EXMIDP,2025-09-07,10,0.00,0.000
2025-09-07T03:00:00Z,APXMIDP,2025-09-07,9,11.10,1633.300
2025-09-07T03:00:00Z,N2EXMIDP,2025-09-07,9,0.00,0.000
2025-09-07T02:30:00Z,APXMIDP,2025-09-07,8,7.44,1566.750
2025-09-07T02:30:00Z,N2EXMIDP,2025-09-07,8,0.00,0.000
2025-09-07T02:00:00Z,APXMIDP,2025-09-07,7,7.26,1660.750
2025-09-07T02:00:00Z,N2EXMIDP,2025-09-07,7,0.00,0.000
2025-09-07T01:30:00Z,APXMIDP,2025-09-07,6,9.79,1694.550
2025-09-07T01:30:00Z,N2EXMIDP,2025-09-07,6,0.00,0.000
2025-09-07T01:00:00Z,APXMIDP,2025-09-07,5,8.58,1807.150
2025-09-07T01:00:00Z,N2EXMIDP,2025-09-07,5,0.00,0.000
2025-09-07T00:30:00Z,APXMIDP,2025-09-07,4,14.38,2035.000
2025-09-07T00:30:00Z,N2EXMIDP,2025-09-07,4,0.00,0.000
2025-09-07T00:00:00Z,APXMIDP,2025-09-07,3,6.38,2091.750
2025-09-07T00:00:00Z,N2EXMIDP,2025-09-07,3,0.00,0.000
2025-09-06T23:30:00Z,APXMIDP,2025-09-07,2,8.04,2016.800
2025-09-06T23:30:00Z,N2EXMIDP,2025-09-07,2,0.00,0.000
2025-09-06T23:00:00Z,APXMIDP,2025-09-07,1,6.31,2310.450
2025-09-06T23:00:00Z,N2EXMIDP,2025-09-07,1,0.00,0.000
2025-09-06T22:30:00Z,APXMIDP,2025-09-06,48,-0.75,1714.750
2025-09-06T22:30:00Z,N2EXMIDP,2025-09-06,48,0.00,0.000
2025-09-06T22:00:00Z,APXMIDP,2025-09-06,47,-2.68,1851.500
2025-09-06T22:00:00Z,N2EXMIDP,2025-09-06,47,0.00,0.000
2025-09-06T21:30:00Z,APXMIDP,2025-09-06,46,-3.73,1748.000
2025-09-06T21:30:00Z,N2EXMIDP,2025-09-06,46,0.00,0.000
2025-09-06T21:00:00Z,APXMIDP,2025-09-06,45,0.28,1788.300
2025-09-06T21:00:00Z,N2EXMIDP,2025-09-06,45,0.00,0.000
2025-09-06T20:30:00Z,APXMIDP,2025-09-06,44,-1.80,1728.700
2025-09-06T20:30:00Z,N2EXMIDP,2025-09-06,44,0.00,0.000
2025-09-06T20:00:00Z,APXMIDP,2025-09-06,43,11.04,1956.000
2025-09-06T20:00:00Z,N2EXMIDP,2025-09-06,43,0.00,0.000
2025-09-06T19:30:00Z,APXMIDP,2025-09-06,42,10.20,1664.950
2025-09-06T19:30:00Z,N2EXMIDP,2025-09-06,42,0.00,0.000
2025-09-06T19:00:00Z,APXMIDP,2025-09-06,41,15.90,1706.200
2025-09-06T19:00:00Z,N2EXMIDP,2025-09-06,41,0.00,0.000
2025-09-06T18:30:00Z,APXMIDP,2025-09-06,40,14.11,1940.250
2025-09-06T18:30:00Z,N2EXMIDP,2025-09-06,40,0.00,0.000
2025-09-06T18:00:00Z,APXMIDP,2025-09-06,39,-0.05,1788.100
2025-09-06T18:00:00Z,N2EXMIDP,2025-09-06,39,0.00,0.000
2025-09-06T17:30:00Z,APXMIDP,2025-09-06,38,-1.01,1927.300
2025-09-06T17:30:00Z,N2EXMIDP,2025-09-06,38,0.00,0.000
2025-09-06T17:00:00Z,APXMIDP,2025-09-06,37,-11.57,1497.550
2025-09-06T17:00:00Z,N2EXMIDP,2025-09-06,37,0.00,0.000
2025-09-06T16:30:00Z,APXMIDP,2025-09-06,36,-6.26,1867.000
2025-09-06T16:30:00Z,N2EXMIDP,2025-09-06,36,0.00,0.000
2025-09-06T16:00:00Z,APXMIDP,2025-09-06,35,-7.30,1586.250
2025-09-06T16:00:00Z,N2EXMIDP,2025-09-06,35,0.00,0.000
2025-09-06T15:30:00Z,APXMIDP,2025-09-06,34,-20.92,2172.350
2025-09-06T15:30:00Z,N2EXMIDP,2025-09-06,34,0.00,0.000
2025-09-06T15:00:00Z,APXMIDP,2025-09-06,33,-33.91,1764.450
2025-09-06T15:00:00Z,N2EXMIDP,2025-09-06,33,0.00,0.000
2025-09-06T14:30:00Z,APXMIDP,2025-09-06,32,-33.37,1946.050
2025-09-06T14:30:00Z,N2EXMIDP,2025-09-06,32,0.00,0.000
2025-09-06T14:00:00Z,APXMIDP,2025-09-06,31,-40.88,1652.350
2025-09-06T14:00:00Z,N2EXMIDP,2025-09-06,31,0.00,0.000
2025-09-06T13:30:00Z,APXMIDP,2025-09-06,30,-97.28,863.250
2025-09-06T13:30:00Z,N2EXMIDP,2025-09-06,30,0.00,0.000
2025-09-06T13:00:00Z,APXMIDP,2025-09-06,29,-101.11,713.650
2025-09-06T13:00:00Z,N2EXMIDP,2025-09-06,29,-60.00,40.500
2025-09-06T12:30:00Z,APXMIDP,2025-09-06,28,-102.92,493.700
2025-09-06T12:30:00Z,N2EXMIDP,2025-09-06,28,-51.95,41.000
2025-09-06T12:00:00Z,APXMIDP,2025-09-06,27,0.00,0.000
2025-09-06T12:00:00Z,N2EXMIDP,2025-09-06,27,-39.22,41.000
2025-09-06T11:30:00Z,APXMIDP,2025-09-06,26,-26.88,135.600
2025-09-06T11:30:00Z,N2EXMIDP,2025-09-06,26,-32.53,49.500
2025-09-06T11:00:00Z,APXMIDP,2025-09-06,25,-19.57,231.050
2025-09-06T11:00:00Z,N2EXMIDP,2025-09-06,25,0.00,0.000
2025-09-06T10:30:00Z,APXMIDP,2025-09-06,24,-22.80,663.950
2025-09-06T10:30:00Z,N2EXMIDP,2025-09-06,24,0.00,0.000
2025-09-06T10:00:00Z,APXMIDP,2025-09-06,23,-18.68,697.800
2025-09-06T10:00:00Z,N2EXMIDP,2025-09-06,23,0.00,0.000
2025-09-06T09:30:00Z,APXMIDP,2025-09-06,22,-3.29,782.850
2025-09-06T09:30:00Z,N2EXMIDP,2025-09-06,22,0.00,0.000
2025-09-06T09:00:00Z,APXMIDP,2025-09-06,21,6.06,1045.550
2025-09-06T09:00:00Z,N2EXMIDP,2025-09-06,21,0.00,0.000
2025-09-06T08:30:00Z,APXMIDP,2025-09-06,20,29.49,785.700
2025-09-06T08:30:00Z,N2EXMIDP,2025-09-06,20,0.00,0.000
2025-09-06T08:00:00Z,APXMIDP,2025-09-06,19,65.83,449.000
2025-09-06T08:00:00Z,N2EXMIDP,2025-09-06,19,0.00,0.000
2025-09-06T07:30:00Z,APXMIDP,2025-09-06,18,73.88,956.900
2025-09-06T07:30:00Z,N2EXMIDP,2025-09-06,18,0.00,0.000
2025-09-06T07:00:00Z,APXMIDP,2025-09-06,17,73.31,1124.450
2025-09-06T07:00:00Z,N2EXMIDP,2025-09-06,17,0.00,0.000
2025-09-06T06:30:00Z,APXMIDP,2025-09-06,16,76.13,1528.250
2025-09-06T06:30:00Z,N2EXMIDP,2025-09-06,16,0.00,0.000
2025-09-06T06:00:00Z,APXMIDP,2025-09-06,15,74.11,1560.300
2025-09-06T06:00:00Z,N2EXMIDP,2025-09-06,15,0.00,0.000
2025-09-06T05:30:00Z,APXMIDP,2025-09-06,14,81.27,1307.250
2025-09-06T05:30:00Z,N2EXMIDP,2025-09-06,14,0.00,0.000
2025-09-06T05:00:00Z,APXMIDP,2025-09-06,13,80.55,1164.400
2025-09-06T05:00:00Z,N2EXMIDP,2025-09-06,13,0.00,0.000
2025-09-06T04:30:00Z,APXMIDP,2025-09-06,12,79.56,1088.750
2025-09-06T04:30:00Z,N2EXMIDP,2025-09-06,12,0.00,0.000
2025-09-06T04:00:00Z,APXMIDP,2025-09-06,11,81.24,1068.750
2025-09-06T04:00:00Z,N2EXMIDP,2025-09-06,11,0.00,0.000
2025-09-06T03:30:00Z,APXMIDP,2025-09-06,10,80.59,999.600
2025-09-06T03:30:00Z,N2EXMIDP,2025-09-06,10,0.00,0.000
2025-09-06T03:00:00Z,APXMIDP,2025-09-06,9,81.79,1035.150
2025-09-06T03:00:00Z,N2EXMIDP,2025-09-06,9,0.00,0.000
2025-09-06T02:30:00Z,APXMIDP,2025-09-06,8,85.07,923.050
